No,Provinsi,Tahun,Kabupaten/Kota,Satuan,Fisik,Psikis,Seksual,Eksploitasi,TPPO,Penelantaran,Cluster,Cluster_Label
200,Jawa Timur,2023,KOTA BATU,Orang,7,11,2,3,0,7,0,Kerentanan Relatif Rendah
201,Jawa Tengah,2024,KABUPATEN CILACAP,Orang,4,0,4,0,0,0,0,Kerentanan Relatif Rendah
202,Jawa Tengah,2024,KABUPATEN BANYUMAS,Orang,29,40,20,2,0,6,1,Kerentanan Tinggi
203,Jawa Tengah,2024,KABUPATEN PURBALINGGA,Orang,11,7,8,0,0,1,0,Kerentanan Relatif Rendah
204,Jawa Tengah,2024,KABUPATEN BANJARNEGARA,Orang,5,8,6,0,0,1,0,Kerentanan Relatif Rendah
205,Jawa Tengah,2024,KABUPATEN KEBUMEN,Orang,43,10,14,0,0,1,0,Kerentanan Relatif Rendah
206,Jawa Tengah,2024,KABUPATEN PURWOREJO,Orang,13,22,7,0,0,4,0,Kerentanan Relatif Rendah
207,Jawa Tengah,2024,KABUPATEN WONOSOBO,Orang,17,46,10,0,0,11,1,Kerentanan Tinggi
208,Jawa Tengah,2024,KABUPATEN MAGELANG,Orang,16,36,8,0,0,2,0,Kerentanan Relatif Rendah
209,Jawa Tengah,2024,KABUPATEN BOYOLALI,Orang,6,7,4,0,0,0,0,Kerentanan Relatif Rendah
210,Jawa Tengah,2024,KABUPATEN KLATEN,Orang,2,2,3,0,0,0,0,Kerentanan Relatif Rendah
211,Jawa Tengah,2024,KABUPATEN SUKOHARJO,Orang,46,7,11,0,0,3,0,Kerentanan Relatif Rendah
212,Jawa Tengah,2024,KABUPATEN WONOGIRI,Orang,1,4,0,0,0,0,0,Kerentanan Relatif Rendah
213,Jawa Tengah,2024,KABUPATEN KARANGANYAR,Orang,9,3,6,0,0,3,0,Kerentanan Relatif Rendah
214,Jawa Tengah,2024,KABUPATEN SRAGEN,Orang,4,0,6,0,0,0,0,Kerentanan Relatif Rendah
215,Jawa Tengah,2024,KABUPATEN GROBOGAN,Orang,1,0,0,0,0,0,0,Kerentanan Relatif Rendah
216,Jawa Tengah,2024,KABUPATEN BLORA,Orang,3,2,4,1,0,2,0,Kerentanan Relatif Rendah
217,Jawa Tengah,2024,KABUPATEN REMBANG,Orang,5,2,2,0,0,1,0,Kerentanan Relatif Rendah
218,Jawa Tengah,2024,KABUPATEN PATI,Orang,6,3,2,0,0,0,0,Kerentanan Relatif Rendah
219,Jawa Tengah,2024,KABUPATEN KUDUS,Orang,5,0,0,0,0,1,0,Kerentanan Relatif Rendah
220,Jawa Tengah,2024,KABUPATEN JEPARA,Orang,13,8,3,0,0,2,0,Kerentanan Relatif Rendah
221,Jawa Tengah,2024,KABUPATEN DEMAK,Orang,22,3,5,0,0,0,0,Kerentanan Relatif Rendah
222,Jawa Tengah,2024,KABUPATEN SEMARANG,Orang,66,17,5,1,0,0,1,Kerentanan Tinggi
